pit_id,pit_date,pit_name,operation_name,professional,pit_country,pit_region,pit_near_avalanche_location,LOC_grain_form,Comments
39180,2022-02-01,Pitkin avalanche,Colorado Avalanche Information Center,True,US,CO,crown,DH,One of the few locations along the avalanche crown safe from hangfire
40716,2022-02-23,Goat Crown,Chugach National Forest Avalanche Center,True,US,AK,crown,DH,HS-N-R4-D3-O. Avalanche failed on facets below New Year's crust (layer @ 53-45 cm in pit profile).
41942,2022-03-14,Commodore cliffs,Colorado Avalanche Information Center,True,US,CO,crown,DH,"Fracture Line Profile from a human triggered slide from 3/13/22. No stability tests performed because crown was so tall, we could not reach. HS-AR-R3D2.5"
41956,2022-03-14,20220314 Mt CB ,Colorado Avalanche Information Center,True,US,CO,crown,DH,"Bank-slope near Marcellina Condos in Mt. Crested Butte, CO. This fracture line profile was dug the day after a small avalanche ran on a bank-slope above a neighborhood road."
42260,2022-03-18,20220318 Mt Owen,Colorado Avalanche Information Center,True,US,CO,crown,DH,"A group of sled-access snowboarders remote triggered this avalanche from around 600 feet away, from a wind-scoured slope south of the avalanche. Profile represents the deeper, southern end of crown."
42936,2022-04-01,S.F. Eagle River #1,Alaska Pacific University,True,US,AK,flank,DH,
42985,2022-04-01,S.Fork E.R./3 Bowls ,Alaska Pacific University,True,US,AK,flank,DH,
46467,2022-12-19,Hovde SO,Åre Lavincenter,True,SE,Bydalen,crown,DH,
46552,2022-12-19,Scorpion crown profile,Sawtooth Avalanche Center,True,US,ID,crown,DH,"Crown profile dug 7 days post incident: 100' wide, slope angle 33-37, aspect 270-285. Avalanche failed on both 12/8 (48-49cm) and 11/27 (24-27cm) faceted layers. 
Stability tests: ECTX x 2, but both tests failed @27cm and propagated with heavy force (kicking shovel). There was very little untracked snow to perform tests, and the column sites were too close to the crown (<1m) to yield valuable results. "
46662,2022-12-22,Praahkoetjåhke,,False,SE,Västra Vindelfjällen,crown,DH,"Brottkantprofil strax ovanför kollapsat flak som inte gled iväg. Flaket upp till ca 150 cm, PF 80 cm."
47889,2023-01-08,Middle Bowl Avy,Colorado Avalanche Information Center,True,US,CO,crown,DH,
49696,2023-01-25,KE23.0 West Ridge,Alpine Solutions Avalanche Services,True,CA,BC,flank,DH,"Windward edge of KE23.0 shoulder. Riming on trees and surface, moderate temps. RL BTL"
50156,2023-02-03,Park Cone 20230203,Colorado Avalanche Information Center,True,US,CO,crown,DH,
51400,2023-02-04,Sheenmai incident,,False,IN,Pir Panjal,crown,DH,
51891,2023-01-06,Desperado-N-BTL-230106,,False,US,NM,crown,DH,"in-bounds location, closed terrain, no tracks at pit site"
5244,2018-01-09,Perfect Trees Ridge E.,,False,US,CO,crown,DH,"Pit dug on crown of avalanche found on our route. Crown was ~35 cm thick, and slid on depth hoar at 39 cm in snowpack. We classified the Ax as: SS-N-D1/R2-O. We performed an ECT (ECTN14, SC, Q1) near the crown but did not get propagation, though the Ax clearly exhibited some amount of propagation, perhaps the energy had already been released? "
5362,2018-01-12,Lake Fork Crown ,,False,US,NM,crown,DH,
55164,2023-08-10,Hollywood Bowl 2,,False,NZ,Treble Cone,flank,DH,"Pit dug in closed area with little skiers traffic, Adjacent to many Sz 2-3 Sp from 230805. Presence of recent wind loading from SW. This structure is Representative of Hollywood Bowl, Mototapu Chutes and the Backcountry snowpack. "
5582,2018-01-16,1.16.2018 Fairgrrounds,Utah Avalanche Center,True,US,UT,crown,DH,
564,2016-12-12,Henderson Bench Ava,Gallatin National Forest Avalanche Center,True,US,MT,crown,DH,This avalanche killed a skier on 12/11/2016. SS-AS-R4-D2-O. 
57712,2023-12-12,Corner Pocket Crown ,,False,US,CO,crown,DH,
59512,2024-01-19,Thelma Apres,CMC Avalanche Science Program,True,US,CO,crown,DH,
59536,2024-01-21,Crown Cornice Rib ,Winter Park Resort,True,US,CO,crown,DH,
59956,2024-01-23,June BC Snowpit # 3,Eastern Sierra Avalanche Center,True,US,CA,crown,DH,
60901,2024-02-04,Little BC Avalanche,Monument Snowcat Skiing,True,US,UT,crown,DH,We dug on the bed surface of the Little BC avalanche to assess how the new snow has formed to the bed surface. 
6113,2018-01-29,Mineral Basin,Colorado Avalanche Information Center,True,US,CO,flank,DH,
61475,2024-02-12,Little BC ,Monument Snowcat Skiing,True,US,UT,flank,DH,Dug on Little BC repeater avalanche
61773,2024-02-15,Cliff Lake NE ,Colorado Avalanche Information Center,True,US,CO,crown,DH,
