,index,geldsetzer_group,count,mean,median,std,min,max,Q1,Q3,IQR,hand_hardness,geldsetzer_grain_form,geldsetzer_density,diff,diff_percent
40,32,4F+ / DF,37,180.1,180.0,54.53,80.0,310.0,140.0,200.0,60.0,4F+,DF,149.0,-31.099999999999994,-17.268184342032203
41,28,4F / PP,32,169.76,150.0,83.13,0.24,329.08,117.5,199.75,82.25,4F,PP,117.0,-52.75999999999999,-31.07917059377945
42,40,4F- / DF,29,146.18,140.0,44.96,75.0,270.0,120.0,168.0,48.0,4F-,DF,125.0,-21.180000000000007,-14.488986181420172
43,98,P / IF,29,356.09,413.12,158.17,21.0,680.0,280.0,450.0,170.0,P,IF,,,
44,82,K / FC,28,414.85,420.0,59.64,280.0,540.0,365.0,460.0,95.0,K,FC,,,
45,69,F- / PP,27,68.73,64.5,25.18,28.0,120.0,50.0,83.45,33.45,F-,PP,69.0,0.269999999999996,0.3928415539065852
46,46,4F- / RG,27,186.93,181.8,84.81,2.6,350.0,130.0,237.2,107.2,4F-,RG,162.0,-24.930000000000007,-13.336543090996633
47,9,1F+ / DF,27,213.94,240.0,78.74,0.34,300.0,210.0,255.0,45.0,1F+,DF,185.0,-28.939999999999998,-13.527157146863605
48,64,F- / DF,26,120.58,114.75,62.03,36.0,328.8,90.25,140.0,49.75,F-,DF,89.0,-31.58,-26.19008127384309
49,94,K- / RG,26,351.49,380.0,109.53,0.45,480.0,322.5,404.5,82.0,K-,RG,347.0,-4.490000000000009,-1.2774189877379183
50,36,4F+ / MF,26,327.04,357.5,159.9,30.0,560.0,237.5,438.0,200.5,4F+,MF,,,
51,17,1F- / DF,24,189.67,185.0,56.25,100.0,359.0,150.0,220.0,70.0,1F-,DF,161.0,-28.669999999999987,-15.11572731586439
52,66,F- / FC,22,199.88,189.6,85.45,15.0,400.0,154.48,233.3,78.82,F-,FC,143.0,-56.879999999999995,-28.457074244546725
53,91,K- / FC,18,400.78,395.0,57.62,320.0,490.0,350.0,450.0,100.0,K-,FC,327.0,-73.77999999999997,-18.409102250611305
54,54,F / PPgp,18,187.01,180.0,123.07,1.2,460.0,120.0,226.5,106.5,F,PPgp,120.0,-67.00999999999999,-35.83230843270413
55,63,F+ / RG,18,186.11,175.0,101.11,0.2,400.0,150.5,240.75,90.25,F+,RG,158.0,-28.110000000000014,-15.103970769974753
56,56,F / SH,17,144.6,130.0,92.82,17.0,368.0,85.0,215.17,130.17,F,SH,,,
57,33,4F+ / DH,16,276.0,280.0,104.21,0.3,440.0,257.5,335.0,77.5,4F+,DH,243.0,-33.0,-11.956521739130435
58,20,1F- / MF,16,277.12,290.0,149.36,35.0,650.0,215.25,335.0,119.75,1F-,MF,,,
59,59,F+ / FC,15,229.87,220.0,84.76,30.0,360.0,200.0,290.0,90.0,F+,FC,173.0,-56.870000000000005,-24.74007047461609
60,41,4F- / DH,14,256.81,241.0,36.38,220.0,350.0,235.8,275.0,39.2,4F-,DH,227.0,-29.810000000000002,-11.6078034344457
61,60,F+ / MF,13,448.0,450.0,121.97,160.0,640.0,408.0,508.0,100.0,F+,MF,,,
62,75,I+ / FC,13,333.23,342.0,44.32,268.0,393.0,296.0,365.0,69.0,I+,FC,,,
63,43,4F- / MF,12,290.97,273.0,165.82,36.0,620.0,241.15,343.5,102.35,4F-,MF,,,
64,58,F+ / DH,10,226.45,236.5,132.47,0.26,347.0,205.0,342.75,137.75,F+,DH,218.0,-8.449999999999989,-3.731508059174206
65,29,4F / PPgp,10,255.6,230.0,88.86,160.0,400.0,192.5,294.0,101.5,4F,PPgp,157.0,-98.6,-38.575899843505475
