snowpit_id,weight_above_target_layer,bending_stiffness_above_target_layer,dataset
43376,34.6,30494741156.148285,All Layer of Concern
39225,76.3,127650803631.03194,All Layer of Concern
43006,11.18,418415726.43508834,All Layer of Concern
42236,73.57,143946986109.45084,All Layer of Concern
38709,51.93000000000001,54461277283.06611,All Layer of Concern
63839,259.90999999999997,12966917142412.549,All Layer of Concern
35906,80.55000000000001,297290601598.53546,All Layer of Concern
43760,23.04,13145928995.033216,All Layer of Concern
37845,169.6,4122448449834.0146,All Layer of Concern
36072,115.35,843162476594.3975,All Layer of Concern
36591,23.08,5009330700.474068,All Layer of Concern
34914,22.42,4266979842.099457,All Layer of Concern
42258,146.89,1926681837185.7114,All Layer of Concern
41401,83.6,390749426342.5035,All Layer of Concern
35065,22.93,4558070987.836994,All Layer of Concern
41771,139.76000000000002,2234906611610.725,All Layer of Concern
35912,136.85000000000002,1263898670332.4883,All Layer of Concern
43068,27.47,7227468626.619576,All Layer of Concern
36536,70.98,172246204060.68463,All Layer of Concern
36646,60.519999999999996,57060705336.569725,All Layer of Concern
38692,68.56,126281229973.26881,All Layer of Concern
43823,106.03999999999999,5093064361125.538,All Layer of Concern
35703,37.2,18907799419.024315,All Layer of Concern
37530,222.1,8352741621179.657,All Layer of Concern
43965,10.100000000000001,942297739.2573519,All Layer of Concern
36792,204.59,5561605019944.087,All Layer of Concern
36271,40.82,49243503012.43143,All Layer of Concern
37870,24.3,3651152374.2207365,All Layer of Concern
35933,126.03,1114993963642.239,All Layer of Concern
39430,32.7,10048313988.44858,All Layer of Concern
43878,61.3,126041853216.95714,All Layer of Concern
35102,72.46,333665577487.15076,All Layer of Concern
42345,71.75,283072590576.6276,All Layer of Concern
38399,314.48999999999995,24393718843422.47,All Layer of Concern
36667,125.97,880106127715.529,All Layer of Concern
40801,9.9,299365108.765892,All Layer of Concern
38957,200.5,3683240745348.867,All Layer of Concern
43802,18.81,6384153164.794999,All Layer of Concern
39356,135.43,2051302844884.143,All Layer of Concern
35514,24.24,4936053751.986803,All Layer of Concern
35722,28.16,8983703354.099545,All Layer of Concern
39204,71.0,116307185454.2452,All Layer of Concern
35736,66.61,125721941209.40381,All Layer of Concern
44094,31.1,10187111095.225868,All Layer of Concern
35670,90.27000000000001,419760661681.63336,All Layer of Concern
41214,25.1,9393974251.712067,All Layer of Concern
35994,76.4,176551196517.64526,All Layer of Concern
43027,19.349999999999998,3536719468.5224576,All Layer of Concern
36503,19.0,2503675489.6288166,All Layer of Concern
37325,148.5,2485353818736.8105,All Layer of Concern
43607,4.859999999999999,29209218.993765894,All Layer of Concern
40574,178.01,6528057148614.991,All Layer of Concern
36323,98.29,660668552288.6173,All Layer of Concern
36233,58.220000000000006,86185879124.66386,All Layer of Concern
40378,24.24,4936053751.986803,All Layer of Concern
40652,4.86,74127139.62719797,All Layer of Concern
36972,178.10999999999999,3235032988435.4067,All Layer of Concern
38474,81.84,286067775648.69244,All Layer of Concern
39472,1.58,2557545.0549592613,All Layer of Concern
37235,38.36000000000001,29976208449.722652,All Layer of Concern
40591,161.07,3249217990234.9165,All Layer of Concern
36280,233.67,6421417607040.07,All Layer of Concern
37765,314.0,32510280411881.617,All Layer of Concern
39064,130.91,1150900074651.3164,All Layer of Concern
39855,1.58,2557545.0549592613,All Layer of Concern
35626,57.45,71632504010.14777,All Layer of Concern
43065,106.32,1236992845655.6545,All Layer of Concern
37401,14.58,788648912.8316792,All Layer of Concern
